time,w_1,w_2,w_3,v_1,v_2,v_3,q_w,q_x,q_y,q_z,zeta,AoA,M1,M2,M3
2.6999999999999944,0.0,0.0,0.9613557142382835,0.0,0.0,125.60693372938444,-0.45290568945832116,0.0,0.0,0.8915584313191607,0.0,,0.0,0.0,0.0
2.7249999999999943,0.0,0.0,0.9552658362240602,0.0,0.0,124.80798579182927,-0.47419637448987767,0.0,0.0,0.8804191038480795,0.0,,0.0,0.0,0.0
2.7499999999999942,0.0,0.0,0.949229636255291,0.0,0.0,124.01605926467464,-0.49508107136164764,0.0,0.0,0.8688467832589377,0.0,,0.0,0.0,0.0
2.774999999999994,0.0,0.0,0.9432463057971816,0.0,0.0,123.23104822683744,-0.5155543029905443,0.0,0.0,0.8568569079303345,0.0,,0.0,0.0,0.0
2.799999999999994,0.0,0.0,0.9373150522612422,0.0,0.0,122.4528488442728,-0.5356110826181553,0.0,0.0,0.8444647820818862,0.0,,0.0,0.0,0.0
2.824999999999994,0.0,0.0,0.9314350986123402,0.0,0.0,121.68135931851705,-0.555246899372039,0.0,0.0,0.8316855660270512,0.0,,0.0,0.0,0.0
2.849999999999994,0.0,0.0,0.9256056829873234,0.0,0.0,120.91647983674565,-0.574457703958408,0.0,0.0,0.8185342670669531,0.0,,0.0,0.0,0.0
2.874999999999994,0.0,0.0,0.91982605832482,0.0,0.0,120.15811252329381,-0.5932398944990069,0.0,0.0,0.8050257310016911,0.0,,0.0,0.0,0.0
2.8999999999999937,0.0,0.0,0.9140954920058335,0.0,0.0,119.40616139259048,-0.6115903025239197,0.0,0.0,0.7911746342361464,0.0,,0.0,0.0,0.0
2.9249999999999936,0.0,0.0,0.9084132655047663,0.0,0.0,118.66053230345746,-0.6295061791310176,0.0,0.0,0.7769954764577893,0.0,,0.0,0.0,0.0
2.9499999999999935,0.0,0.0,0.9027786740505221,0.0,0.0,117.92113291472788,-0.6469851813217976,0.0,0.0,0.7625025738645087,0.0,,0.0,0.0,0.0
2.9749999999999934,0.0,0.0,0.8971910262973479,0.0,0.0,117.1878726421396,-0.6640253585224436,0.0,0.0,0.7477100529210106,0.0,,0.0,0.0,0.0
2.9999999999999933,0.0,0.0,0.891649644005092,0.0,0.0,116.46066261646102,-0.6806251392980771,0.0,0.0,0.7326318446228454,0.0,,0.0,0.0,0.0
3.0249999999999932,0.0,0.0,0.8861538617285614,0.0,0.0,115.73941564280841,-0.6967833182673525,0.0,0.0,0.7172816792476561,0.0,,0.0,0.0,0.0
3.049999999999993,0.0,0.0,0.8807030265156847,0.0,0.0,115.02404616111525,-0.7124990432237706,0.0,0.0,0.7016730815737566,0.0,,0.0,0.0,0.0
3.074999999999993,0.0,0.0,0.8752964976141822,0.0,0.0,114.31447020771576,-0.7277718024693658,0.0,0.0,0.6858193665466806,0.0,,0.0,0.0,0.0
