# Time (s),Vertical velocity (m/s),Total velocity (m/s),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
0,0,0,90,0,2943.655,0.327,NaN,67.547,NaN,0,0,0.657,NaN,NaN,NaN
0.01,0.282,0.282,87.017,0,2942.564,0.327,NaN,67.536,NaN,213.993,1.906e-5,0.657,NaN,NaN,NaN
0.016,0.79,0.79,81.683,0,2941.91,0.327,NaN,67.529,NaN,342.389,3.962e-4,0.656,NaN,0.153,NaN
0.025,1.731,1.731,72.241,0,2940.078,0.326,NaN,67.511,NaN,329.629,0.004,0.653,NaN,0.138,NaN
0.035,2.73,2.73,63.175,0,2938.042,0.326,NaN,67.49,NaN,315.452,0.013,0.647,NaN,0.155,NaN
0.045,3.682,3.682,55.695,0,2936.005,0.326,NaN,67.469,NaN,301.274,0.027,0.641,NaN,0.16,NaN
0.048,3.958,3.958,53.737,0,2935.395,0.326,NaN,67.463,NaN,297.021,0.033,0.639,NaN,0.169,NaN
0.052,4.37,4.37,50.947,0,2934.516,0.326,NaN,67.454,NaN,298.388,0.042,0.636,NaN,0.186,NaN
0.059,4.993,4.993,47.052,0,2933.198,0.326,NaN,67.441,NaN,300.439,0.058,0.632,NaN,0.303,NaN
0.069,5.925,5.925,41.978,0,2931.245,0.326,NaN,67.421,NaN,303.477,0.086,0.625,NaN,0.326,NaN
0.079,6.867,6.867,37.644,0,2929.293,0.325,NaN,67.401,NaN,306.515,0.119,0.619,NaN,0.349,NaN
0.089,7.821,7.821,33.941,0,2927.34,0.325,NaN,67.381,NaN,309.552,0.156,0.613,NaN,0.373,NaN
0.099,8.785,8.785,30.765,0,2925.387,0.325,NaN,67.362,NaN,312.59,0.198,0.607,NaN,0.404,NaN
0.111,9.932,9.932,27.722,0,2923.093,0.325,NaN,67.338,NaN,316.16,0.253,0.601,NaN,0.431,NaN
0.121,10.918,10.918,25.519,0,2921.041,0.325,NaN,67.317,NaN,318.104,0.303,0.596,NaN,0.453,NaN
0.13,11.828,11.828,23.755,0,2919.162,0.324,NaN,67.298,NaN,319.884,0.355,0.596,NaN,0.476,NaN
0.139,12.673,12.673,22.308,0,2917.427,0.324,NaN,67.28,NaN,321.527,0.406,0.596,NaN,0.498,NaN
0.147,13.467,13.467,21.092,0,2915.808,0.324,NaN,67.263,NaN,323.061,0.456,0.596,NaN,0.519,NaN
0.154,14.218,14.218,20.001,0,2914.284,0.324,76.647,67.248,1.194,324.504,0.505,0.596,6.393,0.549,1
0.165,15.351,15.351,18.413,0,2911.999,0.324,77.03,67.224,1.245,326.669,0.582,0.596,5.732,0.571,1.185
0.173,16.164,16.164,17.391,0,2910.371,0.323,77.293,67.208,1.281,328.211,0.639,0.596,5.319,0.604,1.327
0.185,17.387,17.387,16.005,0,2907.887,0.323,77.672,67.182,1.332,327.92,0.727,0.596,4.775,0.651,1.558
0.202,19.143,19.143,14.31,0,2904.316,0.323,78.174,67.145,1.401,327.502,0.857,0.596,4.136,0.727,1.924
0.228,21.769,21.769,12.548,0,2899.005,0.322,78.746,67.09,1.48,325.345,1.066,0.596,3.503,0.826,2.54
0.261,25.159,25.16,10.79,0,2892.103,0.322,79.371,67.018,1.569,322.54,1.364,0.596,2.905,0.926,3.467
0.294,28.501,28.502,9.502,0,2885.384,0.321,79.868,66.948,1.641,317.697,1.694,0.597,2.488,1.002,4.526
0.323,31.39,31.39,7.909,0,2879.493,0.32,80.53,66.886,1.733,313.449,1.969,0.597,1.999,1.028,5.594
0.334,32.429,32.43,7.318,0,2877.354,0.32,80.791,66.863,1.769,311.907,2.068,0.597,1.824,1.066,6.011
0.35,33.984,33.985,6.46,0,2874.206,0.32,81.184,66.83,1.823,311.77,2.221,0.597,1.578,1.128,6.667
0.374,36.317,36.317,5.473,0,2869.484,0.319,81.661,66.78,1.89,311.564,2.477,0.597,1.305,1.204,7.706
0.404,39.316,39.316,4.232,0,2863.41,0.319,82.3,66.715,1.979,311.299,2.826,0.598,0.979,1.284,9.169
0.438,42.619,42.62,2.879,-3.022e-7,2856.715,0.318,83.048,66.644,2.083,311.007,3.243,0.598,0.643,1.384,10.951
0.481,46.781,46.785,1.324,0,2848.261,0.317,83.984,66.553,2.214,310.638,3.841,0.599,0.283,1.423,13.446
0.498,48.457,48.463,0.732,0,2844.85,0.317,84.363,66.517,2.267,310.489,4.108,0.599,0.154,1.491,14.531
0.524,50.963,50.975,0.314,0,2839.762,0.316,84.642,66.462,2.309,309.961,4.538,0.599,0.065,1.638,16.186
0.563,54.699,54.726,1.686,0,2832.13,0.315,83.777,66.379,2.21,309.17,5.274,0.6,0.365,1.782,18.556
0.602,58.473,58.525,2.687,7.504e-7,2824.355,0.315,83.191,66.294,2.146,308.363,6.108,0.6,0.598,1.854,21.183
0.623,60.487,60.558,2.945,8.179e-7,2820.199,0.314,83.048,66.248,2.134,308.217,6.572,0.601,0.66,1.915,22.707
0.641,62.211,62.3,3.084,8.286e-7,2816.629,0.314,82.974,66.209,2.129,308.092,6.978,0.601,0.694,1.968,24.074
0.658,63.767,63.876,3.186,7.105e-7,2813.4,0.313,82.921,66.173,2.127,307.979,7.352,0.601,0.719,2.017,25.352
0.673,65.2,65.328,3.261,7.709e-7,2810.421,0.313,82.883,66.141,2.126,307.874,7.703,0.601,0.738,2.061,26.564
0.687,66.535,66.682,3.272,7.7e-7,2807.641,0.313,82.88,66.11,2.13,307.777,8.03,0.602,0.74,2.101,27.735
0.701,67.809,67.977,3.229,9.123e-7,2804.983,0.312,82.908,66.08,2.137,307.683,8.343,0.602,0.73,2.113,28.891
0.705,68.208,68.383,3.209,9.132e-7,2804.15,0.312,82.921,66.071,2.14,307.654,8.441,0.602,0.725,2.132,29.26
0.711,68.808,68.992,3.168,8.956e-7,2802.895,0.312,82.945,66.057,2.145,307.84,8.587,0.602,0.715,2.158,29.821
0.721,69.707,69.907,3.085,8.899e-7,2801.014,0.312,82.994,66.036,2.154,308.12,8.807,0.602,0.695,2.193,30.68
0.734,70.93,71.151,2.931,7.568e-7,2798.46,0.312,83.085,66.008,2.169,308.499,9.105,0.603,0.658,2.227,31.879
0.747,72.171,72.414,2.729,7.206e-7,2795.872,0.312,83.205,65.979,2.188,308.883,9.406,0.603,0.609,2.26,33.133
0.761,73.458,73.724,2.461,8.172e-7,2793.196,0.311,83.364,65.949,2.212,309.28,9.718,0.603,0.546,2.294,34.477
0.775,74.835,75.125,2.126,8.5e-7,2790.34,0.311,83.565,65.917,2.241,309.704,10.053,0.603,0.467,2.329,35.96
0.791,76.374,76.691,1.708,8.703e-7,2787.161,0.311,83.822,65.881,2.279,310.176,10.434,0.604,0.371,2.352,37.671
0.802,77.396,77.73,1.412,8.08e-7,2785.056,0.31,84.008,65.858,2.305,310.489,10.693,0.604,0.305,2.385,38.837
0.818,78.934,79.292,0.961,7.17e-7,2781.884,0.31,84.297,65.822,2.346,310.489,11.095,0.604,0.205,2.432,40.631
0.842,81.247,81.638,0.262,4.677e-7,2777.126,0.309,84.759,65.768,2.412,310.489,11.735,0.605,0.055,2.561,43.422
0.878,84.73,85.162,0.811,0,2769.989,0.309,84.412,65.687,2.378,310.489,12.802,0.606,0.172,2.656,47.337
0.902,87.035,87.487,1.4,0,2765.281,0.308,84.048,65.633,2.339,310.489,13.568,0.606,0.302,2.719,49.953
0.919,88.692,89.154,1.681,3.683e-7,2761.923,0.308,83.881,65.595,2.322,309.747,14.126,0.607,0.366,2.768,51.921
0.933,90.025,90.495,1.84,0,2759.213,0.307,83.789,65.564,2.315,309.148,14.578,0.607,0.402,2.808,53.557
0.945,91.208,91.683,1.926,0,2756.806,0.307,83.742,65.536,2.312,308.616,14.977,0.607,0.422,2.846,55.048
0.957,92.306,92.786,1.985,0,2754.566,0.307,83.711,65.511,2.311,308.121,15.353,0.608,0.436,2.88,56.46
0.967,93.344,93.828,2.015,0,2752.445,0.307,83.696,65.486,2.313,307.652,15.71,0.608,0.443,2.911,57.823
0.978,94.34,94.828,2.002,0,2750.405,0.307,83.708,65.463,2.317,307.202,16.049,0.608,0.44,2.94,59.163
0.988,95.317,95.809,1.948,0,2748.4,0.306,83.745,65.439,2.325,306.759,16.379,0.608,0.428,2.972,60.509
1,96.466,96.963,1.833,4.099e-7,2746.035,0.306,83.818,65.412,2.338,306.236,16.762,0.609,0.402,2.998,62.134
1.011,97.487,97.988,1.679,4.164e-7,2743.927,0.306,83.916,65.388,2.353,310.754,17.098,0.609,0.366,3.024,63.618
1.022,98.596,99.103,1.475,4.347e-7,2741.675,0.306,84.046,65.361,2.373,315.582,17.463,0.609,0.32,3.031,65.266
1.025,98.894,99.403,1.414,4.376e-7,2741.074,0.305,84.085,65.354,2.379,316.869,17.562,0.609,0.306,3.041,65.716
1.03,99.342,99.854,1.318,4.339e-7,2740.169,0.305,84.146,65.344,2.388,315.763,17.711,0.609,0.285,3.055,66.397
1.036,100.01,100.526,1.166,4.377e-7,2738.812,0.305,84.245,65.328,2.402,314.103,17.934,0.61,0.251,3.076,67.425
1.047,101.003,101.527,0.92,5.665e-7,2736.775,0.305,84.404,65.304,2.426,311.614,18.271,0.61,0.197,3.094,68.979
1.057,102.006,102.538,0.626,4.564e-7,2734.696,0.305,84.598,65.28,2.453,309.072,18.616,0.61,0.133,3.12,70.591
1.073,103.498,104.045,0.151,4.231e-7,2731.619,0.304,84.916,65.244,2.498,308.814,19.149,0.611,0.032,3.207,73.046
1.096,105.721,106.298,0.533,5.193e-7,2727.005,0.304,84.674,65.19,2.475,308.427,20.011,0.611,0.113,3.224,76.358
1.1,106.087,106.67,0.637,5.167e-7,2726.242,0.304,84.608,65.181,2.467,308.363,20.16,0.611,0.135,3.248,76.896
1.106,106.637,107.228,0.769,5.098e-7,2725.081,0.304,84.525,65.168,2.458,309.739,20.387,0.612,0.164,3.282,77.719
1.115,107.465,108.07,0.951,5.459e-7,2723.341,0.303,84.413,65.147,2.447,311.802,20.735,0.612,0.204,3.333,78.977
1.128,108.716,109.344,1.18,0,2720.73,0.303,84.274,65.116,2.433,314.897,21.267,0.612,0.255,3.376,80.921
1.139,109.809,110.457,1.328,0,2718.468,0.303,84.186,65.09,2.425,317.578,21.736,0.613,0.288,3.415,82.665
1.15,110.853,111.523,1.423,0,2716.307,0.303,84.132,65.064,2.422,315.946,22.184,0.613,0.309,3.448,84.375
1.16,111.803,112.492,1.47,0,2714.328,0.302,84.108,65.041,2.422,314.451,22.589,0.613,0.32,3.477,85.967
1.169,112.699,113.408,1.475,0,2712.447,0.302,84.109,65.018,2.425,313.031,22.968,0.614,0.321,3.504,87.504
1.178,113.571,114.299,1.443,-3.172e-7,2710.605,0.302,84.133,64.996,2.43,311.64,23.333,0.614,0.314,3.529,89.032
1.188,114.44,115.188,1.375,-3.306e-7,2708.757,0.302,84.179,64.974,2.439,310.244,23.693,0.614,0.299,3.553,90.59
1.197,115.332,116.099,1.27,-5.566e-7,2706.852,0.302,84.249,64.952,2.451,308.805,24.059,0.614,0.275,3.572,92.22
1.205,116.042,116.825,1.176,-5.632e-7,2705.327,0.301,84.312,64.934,2.461,307.654,24.35,0.615,0.254,3.596,93.535
1.216,117.046,117.85,1.019,-5.607e-7,2703.213,0.301,84.415,64.908,2.477,307.24,24.761,0.615,0.219,3.623,95.42
1.228,118.184,119.01,0.801,0,2700.816,0.301,84.56,64.88,2.499,306.771,25.228,0.615,0.171,3.652,97.6
1.244,119.604,120.456,0.484,0,2697.821,0.301,84.772,64.844,2.531,306.185,25.823,0.616,0.103,3.699,100.38
1.267,121.733,122.619,0.091,-5.014e-7,2693.329,0.3,85.043,64.79,2.572,305.306,26.763,0.617,0.019,3.829,104.588
1.298,124.633,125.551,0.804,2.409e-6,2687.21,0.299,84.591,64.716,2.524,304.109,28.149,0.618,0.172,3.879,109.831
1.311,125.869,126.797,0.977,2.865e-6,2684.584,0.299,84.487,64.684,2.515,308.325,28.746,0.618,0.211,3.916,112.174
1.322,126.884,127.819,1.061,2.819e-6,2682.459,0.299,84.44,64.658,2.512,311.736,29.232,0.618,0.229,3.947,114.148
1.332,127.816,128.757,1.094,2.838e-6,2680.534,0.299,84.424,64.635,2.513,314.828,29.675,0.619,0.237,3.96,115.998
1.336,128.221,129.164,1.096,2.844e-6,2679.704,0.298,84.425,64.625,2.515,316.16,29.867,0.619,0.237,3.979,116.812
1.342,128.827,129.774,1.084,2.771e-6,2678.468,0.298,84.435,64.61,2.518,314.555,30.152,0.619,0.235,4.005,118.047
1.352,129.707,130.659,1.038,2.932e-6,2676.66,0.298,84.469,64.588,2.525,312.207,30.563,0.619,0.224,4.029,119.868
1.361,130.604,131.562,0.959,2.845e-6,2674.798,0.298,84.524,64.565,2.535,309.788,30.98,0.62,0.207,4.052,121.759
1.371,131.548,132.513,0.838,2.615e-6,2672.814,0.298,84.606,64.541,2.548,307.212,31.418,0.62,0.18,4.076,123.793
1.383,132.597,133.57,0.665,2.339e-6,2670.582,0.297,84.724,64.514,2.567,304.314,31.907,0.621,0.142,4.102,126.099
1.397,133.877,134.862,0.408,2.105e-6,2667.814,0.297,84.898,64.48,2.593,300.719,32.513,0.621,0.087,4.108,128.981
1.4,134.18,135.169,0.341,2.102e-6,2667.15,0.297,84.943,64.472,2.6,299.856,32.66,0.621,0.073,4.117,129.675
1.405,134.634,135.628,0.246,2.106e-6,2666.185,0.297,85.009,64.46,2.61,299.676,32.882,0.621,0.052,4.132,130.712
1.413,135.313,136.316,0.1,2.107e-6,2664.738,0.297,85.109,64.442,2.625,299.406,33.221,0.622,0.021,4.165,132.277
1.424,136.328,137.344,0.116,2.125e-6,2662.568,0.296,85.105,64.415,2.628,299.001,33.739,0.622,0.025,4.232,134.51
1.441,137.839,138.88,0.413,2.062e-6,2659.313,0.296,84.918,64.375,2.609,298.393,34.537,0.623,0.088,4.306,137.739
1.462,139.622,140.697,0.681,4.052e-6,2655.438,0.296,84.754,64.327,2.594,297.67,35.505,0.623,0.146,4.347,141.672
1.474,140.672,141.769,0.776,3.624e-6,2653.141,0.295,84.699,64.299,2.591,297.241,36.079,0.624,0.167,4.379,144.061
1.484,141.574,142.691,0.812,3.377e-6,2651.159,0.295,84.681,64.274,2.592,296.871,36.57,0.624,0.175,4.406,146.162
1.494,142.422,143.558,0.805,3.672e-6,2649.289,0.295,84.691,64.251,2.596,296.522,37.028,0.624,0.174,4.422,148.18
1.5,142.931,144.078,0.782,3.629e-6,2648.165,0.295,84.709,64.237,2.6,296.312,37.301,0.625,0.169,4.442,149.409
1.509,143.695,144.858,0.711,3.871e-6,2646.483,0.295,84.759,64.216,2.609,296.69,37.709,0.625,0.153,4.466,151.285
1.52,144.629,145.812,0.588,4.305e-6,2644.429,0.294,84.845,64.19,2.623,297.151,38.208,0.625,0.126,4.491,153.617
1.533,145.746,146.952,0.4,4.456e-6,2641.977,0.294,84.974,64.16,2.643,297.701,38.808,0.626,0.086,4.522,156.456
1.55,147.248,148.48,0.107,5.012e-6,2638.695,0.294,85.177,64.119,2.674,298.438,39.632,0.626,0.023,4.607,160.336
1.576,149.533,150.796,0.291,3.384e-6,2633.684,0.293,85.07,64.056,2.669,303.352,40.927,0.627,0.062,4.676,165.965
1.595,151.235,152.517,0.504,2.048e-6,2630.02,0.293,84.942,64.009,2.658,306.945,41.918,0.628,0.108,4.723,170.179
1.608,152.442,153.735,0.614,2.764e-6,2627.43,0.292,84.878,63.977,2.654,303.019,42.634,0.629,0.132,4.758,173.23
1.619,153.401,154.701,0.665,2.757e-6,2625.342,0.292,84.852,63.95,2.654,299.855,43.206,0.629,0.144,4.787,175.699
1.629,154.262,155.569,0.669,2.733e-6,2623.439,0.292,84.855,63.926,2.658,296.971,43.717,0.629,0.144,4.8,177.964
1.634,154.666,155.976,0.657,2.694e-6,2622.537,0.292,84.865,63.915,2.661,295.603,43.955,0.63,0.142,4.817,179.041
1.641,155.262,156.576,0.622,2.665e-6,2621.243,0.291,84.892,63.898,2.666,289.769,44.305,0.63,0.134,4.843,180.644
1.652,156.154,157.476,0.528,3.315e-6,2619.234,0.291,84.958,63.873,2.678,280.716,44.825,0.63,0.114,4.863,183.093
1.664,157.092,158.423,0.366,3.751e-6,2617.203,0.291,85.071,63.847,2.695,275.556,45.367,0.631,0.078,4.89,185.72
1.681,158.386,159.734,0.09,3.422e-6,2614.301,0.291,85.262,63.81,2.724,268.18,46.133,0.631,0.019,4.964,189.428
1.707,160.221,161.6,0.301,4.58e-6,2609.947,0.29,85.135,63.754,2.715,257.116,47.278,0.632,0.065,4.994,194.455
1.716,160.86,162.253,0.401,4.443e-6,2608.355,0.29,85.074,63.734,2.71,253.07,47.692,0.632,0.086,5.031,196.227
1.73,161.764,163.178,0.501,4.087e-6,2606.221,0.29,85.016,63.706,2.706,237.948,48.281,0.633,0.108,5.064,198.765
1.743,162.523,163.957,0.531,5.149e-6,2604.253,0.289,85.002,63.681,2.708,224.006,48.773,0.633,0.115,5.083,200.968
1.754,163.097,164.546,0.523,4.81e-6,2602.96,0.289,85.011,63.664,2.711,210.77,49.139,0.634,0.113,5.106,202.634
1.765,163.618,165.082,0.499,5.085e-6,2601.657,0.289,85.03,63.647,2.716,197.444,49.462,0.634,0.108,5.117,204.18
1.776,164.102,165.58,0.432,5.523e-6,2600.304,0.289,85.078,63.63,2.724,183.599,49.755,0.634,0.093,5.124,205.662
1.789,164.586,166.078,0.31,5.517e-6,2598.749,0.289,85.161,63.61,2.737,167.68,50.044,0.634,0.067,5.126,207.202
1.8,164.945,166.447,0.177,5.392e-6,2597.395,0.289,85.251,63.592,2.751,153.827,50.255,0.634,0.038,5.133,208.39
1.817,165.392,166.905,0.082,5.682e-6,2596.233,0.288,85.318,63.577,2.761,138.394,50.537,0.635,0.017,5.184,209.758
1.842,165.883,167.402,0.403,3.58e-6,2594.49,0.288,85.109,63.555,2.737,115.244,50.869,0.635,0.087,5.195,211.044
1.856,166.055,167.573,0.485,3.515e-6,2593.566,0.288,85.057,63.543,2.732,102.974,50.979,0.635,0.105,5.197,211.531
1.867,166.151,167.667,0.487,3.545e-6,2592.8,0.288,85.056,63.533,2.733,92.801,51.025,0.635,0.105,5.195,211.842
1.878,166.202,167.717,0.446,4.039e-6,2592.039,0.288,85.083,63.523,2.738,82.688,51.037,0.635,0.096,5.188,212.06
1.89,166.209,167.722,0.357,4.304e-6,2591.207,0.288,85.141,63.512,2.747,71.644,51.013,0.635,0.077,5.178,212.188
1.9,166.175,167.687,0.255,4.357e-6,2590.51,0.288,85.208,63.503,2.757,62.381,50.968,0.635,0.055,5.161,212.205
1.915,166.069,167.581,0.09,4.719e-6,2590.109,0.288,85.317,63.498,2.771,53.303,50.877,0.635,0.019,5.166,212.011
1.938,165.808,167.321,0.165,4.864e-6,2589.507,0.288,85.265,63.49,2.765,39.686,50.693,0.635,0.035,5.158,211.272
1.97,165.235,166.756,0.372,8.127e-6,2588.661,0.287,85.125,63.479,2.749,20.558,50.326,0.635,0.08,5.158,209.646
1.973,165.165,166.686,0.377,8.134e-6,2588.655,0.287,85.121,63.479,2.749,0,50.281,0.635,0.081,5.161,209.45
1.976,165.055,166.577,0.381,8.114e-6,2588.655,0.287,85.118,63.479,2.748,0,50.209,0.635,0.082,5.155,209.143
1.982,164.89,166.413,0.379,8.035e-6,2588.655,0.287,85.118,63.479,2.748,0,50.101,0.634,0.082,5.145,208.688
1.99,164.643,166.167,0.361,8.013e-6,2588.655,0.287,85.128,63.479,2.749,0,49.938,0.634,0.078,5.127,208.017
2.003,164.274,165.8,0.3,8.181e-6,2588.655,0.287,85.166,63.479,2.754,0,49.691,0.634,0.064,5.099,207.034
2.021,163.744,165.27,0.16,8.359e-6,2588.655,0.287,85.254,63.479,2.765,0,49.334,0.634,0.034,5.065,205.649
2.049,162.96,164.482,0.096,9.093e-6,2588.655,0.287,85.291,63.479,2.77,0,48.816,0.634,0.02,5.033,203.52
2.09,161.803,163.311,0.278,1.169e-5,2588.655,0.287,85.163,63.479,2.754,0,48.048,0.633,0.06,5.014,200.232
2.11,161.236,162.736,0.273,1.098e-5,2588.655,0.287,85.162,63.479,2.754,0,47.672,0.633,0.058,4.988,198.68
2.131,160.656,162.149,0.206,8.589e-6,2588.655,0.287,85.202,63.479,2.759,0,47.292,0.632,0.044,4.948,197.136
2.159,159.884,161.37,0.029,1.149e-5,2588.655,0.287,85.315,63.479,2.773,0,46.789,0.632,0.006,4.918,195.143
2.201,158.726,160.21,0.228,8.058e-6,2588.655,0.287,85.175,63.479,2.755,0,46.057,0.632,0.049,4.896,191.961
2.227,158.011,159.496,0.25,6.417e-6,2588.655,0.287,85.155,63.479,2.753,0,45.613,0.631,0.053,4.868,190.071
2.251,157.356,158.841,0.178,6.28e-6,2588.655,0.287,85.199,63.479,2.758,0,45.202,0.631,0.038,4.826,188.394
2.285,156.439,157.922,0.054,5.22e-6,2588.655,0.287,85.275,63.479,2.768,0,44.606,0.631,0.011,4.78,186.06
2.335,155.11,156.584,0.136,3.864e-6,2588.655,0.287,85.211,63.479,2.76,0,43.753,0.63,0.029,4.742,182.565
2.381,153.908,155.37,0.206,-6.916e-6,2588.655,0.287,85.157,63.479,2.753,0,43.009,0.629,0.044,4.711,179.436
2.412,153.108,154.562,0.152,-8.147e-6,2588.655,0.287,85.187,63.479,2.757,0,42.523,0.629,0.032,4.665,177.421
2.454,152.017,153.464,0.028,-9.3e-6,2588.655,0.287,85.263,63.479,2.767,0,41.872,0.629,0.006,4.631,174.727
2.504,150.729,152.176,0.295,-5.116e-6,2588.655,0.287,85.077,63.479,2.743,0,41.088,0.628,0.063,4.613,171.403
2.527,150.152,151.601,0.273,-4.881e-6,2588.655,0.287,85.088,63.479,2.744,0,40.739,0.628,0.058,4.583,169.997
2.551,149.528,150.979,0.157,-6.429e-6,2588.655,0.287,85.16,63.479,2.754,0,40.359,0.628,0.033,4.553,168.522
2.588,148.606,150.052,0.197,-8.006e-6,2588.655,0.287,85.129,63.479,2.75,0,39.84,0.627,0.042,4.535,166.255
2.623,147.746,149.18,0.383,-7.97e-6,2588.655,0.287,85.001,63.479,2.733,0,39.365,0.627,0.082,4.521,164.073
2.641,147.302,148.729,0.379,-7.126e-6,2588.655,0.287,85.001,63.479,2.733,0,39.114,0.627,0.081,4.5,162.996
2.66,146.852,148.273,0.29,-8.346e-6,2588.655,0.287,85.056,63.479,2.74,0,38.851,0.626,0.062,4.466,161.945
2.684,146.259,147.674,0.085,-7.917e-6,2588.655,0.287,85.189,63.479,2.757,0,38.504,0.626,0.018,4.443,160.609
2.72,145.368,146.781,0.223,-7.239e-6,2588.655,0.287,85.092,63.479,2.745,0,38.01,0.626,0.047,4.424,158.44
2.753,144.583,145.999,0.349,-1.095e-5,2588.655,0.287,85.004,63.479,2.734,0,37.588,0.626,0.075,4.406,156.555
2.773,144.077,145.496,0.319,-1.121e-5,2588.655,0.287,85.021,63.479,2.736,0,37.313,0.625,0.068,4.381,155.396
2.796,143.523,144.943,0.204,-1.161e-5,2588.655,0.287,85.094,63.479,2.745,0,37.008,0.625,0.043,4.342,154.163
2.831,142.703,144.121,0.036,-1.205e-5,2588.655,0.287,85.2,63.479,2.759,0,36.558,0.625,0.008,4.322,152.334
2.881,141.531,142.937,0.385,-2.624e-6,2588.655,0.287,84.962,63.479,2.728,0,35.964,0.624,0.082,4.313,149.494
2.9,141.075,142.473,0.433,-2.601e-6,2588.655,0.287,84.929,63.479,2.724,0,35.737,0.624,0.092,4.292,148.427
2.918,140.666,142.058,0.321,-3.746e-6,2588.655,0.287,84.999,63.479,2.733,0,35.503,0.624,0.068,4.26,147.533
2.942,140.111,141.497,0.099,-5.062e-6,2588.655,0.287,85.143,63.479,2.751,0,35.189,0.624,0.021,4.243,146.357
2.978,139.273,140.659,0.363,-5.299e-6,2588.655,0.287,84.964,63.479,2.729,0,34.724,0.623,0.077,4.237,144.374
3,138.767,140.157,0.557,-2.714e-6,2588.655,0.287,84.834,63.479,2.712,0,34.453,0.623,0.119,4.225,143.181
3.014,138.435,139.827,0.526,-2.599e-6,2588.655,0.287,84.852,63.479,2.714,0,34.28,0.623,0.112,4.208,142.465
3.029,138.083,139.478,0.436,-2.111e-6,2588.655,0.287,84.909,63.479,2.722,0,34.093,0.623,0.093,4.184,141.73
3.048,137.659,139.057,0.266,-2.153e-6,2588.655,0.287,85.018,63.479,2.736,0,33.865,0.623,0.056,4.15,140.868
3.075,137.031,138.429,0.076,-2.015e-6,2588.655,0.287,85.141,63.479,2.751,0,33.509,0.623,0.016,4.126,139.56
3.117,136.103,137.495,0.252,-1.309e-6,2588.655,0.287,85.018,63.479,2.735,0,33.007,0.622,0.054,4.111,137.46
3.15,135.381,136.764,0.428,-1.612e-6,2588.655,0.287,84.898,63.479,2.72,0,32.636,0.622,0.091,4.101,135.819
3.169,134.952,136.328,0.486,-9.3e-7,2588.655,0.287,84.858,63.479,2.715,0,32.426,0.622,0.104,4.087,134.865
3.187,134.574,135.943,0.465,0,2588.655,0.287,84.869,63.479,2.717,0,32.235,0.622,0.099,4.068,134.052
3.205,134.177,135.54,0.359,-1.506e-6,2588.655,0.287,84.937,63.479,2.725,0,32.025,0.621,0.076,4.035,133.232
3.229,133.657,135.015,0.092,-1.474e-6,2588.655,0.287,85.111,63.479,2.747,0,31.742,0.621,0.019,4.019,132.213
3.265,132.874,134.232,0.332,-2.891e-6,2588.655,0.287,84.947,63.479,2.726,0,31.344,0.621,0.071,4.012,130.475
3.291,132.298,133.66,0.548,-3.248e-6,2588.655,0.287,84.802,63.479,2.708,0,31.062,0.621,0.117,4.002,129.202
3.307,131.944,133.31,0.574,-3.635e-6,2588.655,0.287,84.783,63.479,2.706,0,30.886,0.621,0.123,3.987,128.465
3.322,131.606,132.976,0.507,-4.011e-6,2588.655,0.287,84.825,63.479,2.711,0,30.715,0.62,0.108,3.967,127.793
3.34,131.224,132.596,0.37,-2.98e-6,2588.655,0.287,84.913,63.479,2.722,0,30.519,0.62,0.079,3.935,127.055
3.364,130.7,132.074,0.111,-3.66e-6,2588.655,0.287,85.081,63.479,2.743,0,30.252,0.62,0.023,3.917,126.066
3.401,129.927,131.297,0.283,-5.181e-6,2588.655,0.287,84.963,63.479,2.728,0,29.88,0.62,0.06,3.903,124.415
3.433,129.257,130.618,0.443,-6.107e-6,2588.655,0.287,84.854,63.479,2.715,0,29.552,0.62,0.094,3.889,122.98
3.454,128.825,130.179,0.442,-4.978e-6,2588.655,0.287,84.852,63.479,2.714,0,29.334,0.619,0.094,3.868,122.091
3.475,128.387,129.736,0.349,-4.764e-6,2588.655,0.287,84.911,63.479,2.722,0,29.106,0.619,0.074,3.838,121.227
3.502,127.829,129.173,0.151,-3.466e-6,2588.655,0.287,85.039,63.479,2.738,0,28.819,0.619,0.032,3.807,120.16
3.542,126.993,128.333,0.089,-5.255e-6,2588.655,0.287,85.075,63.479,2.743,0,28.426,0.619,0.019,3.781,118.507
3.592,125.961,127.302,0.237,-8.075e-6,2588.655,0.287,84.972,63.479,2.73,0,27.963,0.618,0.05,3.753,116.428
3.633,125.117,126.461,0.214,-6.42e-6,2588.655,0.287,84.983,63.479,2.731,0,27.58,0.618,0.045,3.716,114.791
3.68,124.177,125.522,0.085,-6.822e-6,2588.655,0.287,85.064,63.479,2.741,0,27.143,0.618,0.018,3.684,113.008
3.73,123.176,124.517,0.113,-7.843e-6,2588.655,0.287,85.041,63.479,2.738,0,26.684,0.617,0.024,3.661,111.071
3.78,122.189,123.523,0.295,-8.22e-6,2588.655,0.287,84.915,63.479,2.722,0,26.257,0.617,0.062,3.636,109.127
