# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
69.132,334.967,-5.549,7.456,-0.082,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.173,293.153,NaN,NaN,NaN
69.418,333.377,-5.572,7.391,0.044,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.611,293.153,NaN,NaN,NaN
69.703,331.793,-5.56,7.194,0.168,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.373,293.153,NaN,NaN,NaN
69.988,330.214,-5.512,6.787,-0.212,NaN,NaN,2589,0.287,0,63.5,-8.062,0,24.823,293.153,NaN,NaN,NaN
70.276,328.619,-5.573,6.885,0.001,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.372,293.153,NaN,NaN,NaN
70.56,327.034,-5.572,6.926,0.05,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.625,293.153,NaN,NaN,NaN
70.844,325.451,-5.558,6.747,-0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.461,293.153,NaN,NaN,NaN
71.13,323.866,-5.56,6.903,0.109,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.042,293.153,NaN,NaN,NaN
71.415,322.286,-5.529,7.187,-0.134,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.055,293.153,NaN,NaN,NaN
71.701,320.696,-5.567,7.319,0.027,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.536,293.153,NaN,NaN,NaN
71.986,319.113,-5.559,7.482,-0.019,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.366,293.153,NaN,NaN,NaN
72.271,317.528,-5.565,7.365,-0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.372,293.153,NaN,NaN,NaN
72.555,315.944,-5.567,7.458,0.017,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.475,293.153,NaN,NaN,NaN
72.84,314.362,-5.562,7.595,-0.021,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.316,293.153,NaN,NaN,NaN
73.124,312.778,-5.568,7.542,0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.413,293.153,NaN,NaN,NaN
73.409,311.195,-5.566,7.633,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.439,293.153,NaN,NaN,NaN
73.693,309.613,-5.563,7.755,-0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.36,293.153,NaN,NaN,NaN
73.977,308.03,-5.565,7.843,0.003,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.398,293.153,NaN,NaN,NaN
74.262,306.448,-5.564,7.937,-0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.345,293.153,NaN,NaN,NaN
74.546,304.866,-5.567,7.898,0.003,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.375,293.153,NaN,NaN,NaN
74.83,303.284,-5.566,7.847,0.056,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.658,293.153,NaN,NaN,NaN
75.114,301.705,-5.55,7.623,-0.05,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.248,293.153,NaN,NaN,NaN
75.399,300.122,-5.564,7.562,0.021,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.483,293.153,NaN,NaN,NaN
75.683,298.542,-5.558,7.421,0.049,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.678,293.153,NaN,NaN,NaN
75.968,296.963,-5.544,7.643,-0.072,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.174,293.153,NaN,NaN,NaN
76.253,295.38,-5.565,7.662,0.005,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.383,293.153,NaN,NaN,NaN
76.537,293.8,-5.563,7.608,6.352e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.369,293.153,NaN,NaN,NaN
76.821,292.22,-5.563,7.563,-0.001,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.358,293.153,NaN,NaN,NaN
77.105,290.64,-5.563,7.575,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.365,293.153,NaN,NaN,NaN
77.389,289.061,-5.563,7.561,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.413,293.153,NaN,NaN,NaN
77.672,287.482,-5.56,7.643,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.436,293.153,NaN,NaN,NaN
77.956,285.903,-5.557,7.524,-0.017,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.318,293.153,NaN,NaN,NaN
78.241,284.324,-5.562,7.51,0.026,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.492,293.153,NaN,NaN,NaN
78.524,282.746,-5.554,7.64,-0.023,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.302,293.153,NaN,NaN,NaN
78.809,281.167,-5.561,7.661,0.018,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.45,293.153,NaN,NaN,NaN
79.092,279.59,-5.556,7.546,0.072,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.776,293.153,NaN,NaN,NaN
79.376,278.015,-5.535,7.281,-0.084,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.147,293.153,NaN,NaN,NaN
79.661,276.434,-5.559,7.334,1.594e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.361,293.153,NaN,NaN,NaN
79.945,274.856,-5.559,7.321,0.125,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.009,293.153,NaN,NaN,NaN
80.229,273.284,-5.524,7.595,-0.116,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.078,293.153,NaN,NaN,NaN
80.514,271.703,-5.557,7.55,0.065,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.709,293.153,NaN,NaN,NaN
80.798,270.129,-5.538,7.766,-0.061,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.219,293.153,NaN,NaN,NaN
81.083,268.55,-5.556,7.707,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.385,293.153,NaN,NaN,NaN
81.366,266.974,-5.555,7.781,-0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.363,293.153,NaN,NaN,NaN
81.65,265.398,-5.556,7.731,-0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.357,293.153,NaN,NaN,NaN
81.934,263.822,-5.556,7.746,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.415,293.153,NaN,NaN,NaN
82.217,262.247,-5.553,7.832,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.444,293.153,NaN,NaN,NaN
82.501,260.672,-5.55,7.957,-0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.34,293.153,NaN,NaN,NaN
82.785,259.097,-5.553,7.892,0.087,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.822,293.153,NaN,NaN,NaN
83.068,257.526,-5.529,7.607,-0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.515,293.153,NaN,NaN,NaN
83.353,255.951,-5.533,7.377,-0.028,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.404,293.153,NaN,NaN,NaN
83.637,254.375,-5.541,7.209,-0.041,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.258,293.153,NaN,NaN,NaN
83.921,252.799,-5.553,7.184,0.001,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.368,293.153,NaN,NaN,NaN
84.205,251.226,-5.553,7.216,0.033,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.529,293.153,NaN,NaN,NaN
84.488,249.654,-5.543,7.065,-0.029,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.292,293.153,NaN,NaN,NaN
84.772,248.079,-5.551,7.034,0.005,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.387,293.153,NaN,NaN,NaN
85.055,246.506,-5.55,7.09,-0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.351,293.153,NaN,NaN,NaN
85.339,244.933,-5.551,7.099,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.368,293.153,NaN,NaN,NaN
85.622,243.361,-5.551,7.119,0.306,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.969,293.153,NaN,NaN,NaN
85.905,241.801,-5.464,7.527,-0.286,NaN,NaN,2589,0.287,0,63.5,-8.062,0,24.662,293.153,NaN,NaN,NaN
86.193,240.217,-5.546,7.696,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.403,293.153,NaN,NaN,NaN
86.477,238.645,-5.546,7.592,0.054,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.674,293.153,NaN,NaN,NaN
86.76,237.076,-5.53,7.361,-0.064,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.199,293.153,NaN,NaN,NaN
87.044,235.502,-5.548,7.344,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.429,293.153,NaN,NaN,NaN
87.327,233.931,-5.545,7.248,-0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.36,293.153,NaN,NaN,NaN
87.611,232.36,-5.546,7.189,0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.403,293.153,NaN,NaN,NaN
87.894,230.789,-5.545,7.269,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.441,293.153,NaN,NaN,NaN
88.177,229.219,-5.542,7.383,-0.018,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.313,293.153,NaN,NaN,NaN
88.46,227.648,-5.547,7.381,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.42,293.153,NaN,NaN,NaN
88.743,226.079,-5.543,7.465,-0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.337,293.153,NaN,NaN,NaN
89.027,224.509,-5.546,7.472,0.003,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.371,293.153,NaN,NaN,NaN
89.31,222.939,-5.545,7.441,0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.39,293.153,NaN,NaN,NaN
89.593,221.37,-5.543,7.502,-0.001,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.365,293.153,NaN,NaN,NaN
89.876,219.801,-5.544,7.457,0.023,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.485,293.153,NaN,NaN,NaN
90.159,218.233,-5.537,7.585,0.037,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.613,293.153,NaN,NaN,NaN
90.442,216.666,-5.527,7.793,-0.057,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.216,293.153,NaN,NaN,NaN
90.726,215.096,-5.543,7.838,0.034,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.536,293.153,NaN,NaN,NaN
91.009,213.529,-5.533,7.669,0.072,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.819,293.153,NaN,NaN,NaN
91.292,211.964,-5.513,7.376,0.025,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.76,293.153,NaN,NaN,NaN
91.576,210.397,-5.506,7.077,-0.061,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.373,293.153,NaN,NaN,NaN
91.861,208.828,-5.523,6.893,-0.062,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.207,293.153,NaN,NaN,NaN
92.145,207.258,-5.541,6.874,0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.385,293.153,NaN,NaN,NaN
92.427,205.691,-5.54,6.924,0.016,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.454,293.153,NaN,NaN,NaN
92.71,204.125,-5.535,7.027,0.057,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.704,293.153,NaN,NaN,NaN
92.993,202.561,-5.519,7.233,-0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.541,293.153,NaN,NaN,NaN
93.277,200.995,-5.52,7.456,0.095,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.038,293.153,NaN,NaN,NaN
93.561,199.433,-5.493,7.794,-0.14,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.059,293.153,NaN,NaN,NaN
93.846,197.861,-5.532,7.958,0.033,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.588,293.153,NaN,NaN,NaN
94.129,196.297,-5.523,7.743,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.532,293.153,NaN,NaN,NaN
94.412,194.732,-5.521,7.529,-0.054,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.233,293.153,NaN,NaN,NaN
94.696,193.165,-5.536,7.485,0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.387,293.153,NaN,NaN,NaN
94.978,191.6,-5.535,7.417,-9.789e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.369,293.153,NaN,NaN,NaN
95.261,190.035,-5.536,7.47,-0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.355,293.153,NaN,NaN,NaN
95.544,188.471,-5.536,7.475,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.365,293.153,NaN,NaN,NaN
95.826,186.907,-5.536,7.482,0.026,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.493,293.153,NaN,NaN,NaN
96.109,185.344,-5.529,7.345,-0.022,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.305,293.153,NaN,NaN,NaN
96.391,183.78,-5.535,7.374,0.069,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.72,293.153,NaN,NaN,NaN
96.674,182.219,-5.515,7.582,-0.036,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.347,293.153,NaN,NaN,NaN
96.957,180.654,-5.526,7.742,-0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.382,293.153,NaN,NaN,NaN
97.24,179.091,-5.529,7.625,3.93e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.408,293.153,NaN,NaN,NaN
97.523,177.528,-5.529,7.741,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.438,293.153,NaN,NaN,NaN
97.805,175.966,-5.527,7.874,0.037,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.608,293.153,NaN,NaN,NaN
98.088,174.405,-5.516,8.086,-0.056,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.217,293.153,NaN,NaN,NaN
98.371,172.841,-5.532,8.075,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.424,293.153,NaN,NaN,NaN
98.654,171.28,-5.529,8.171,-0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.345,293.153,NaN,NaN,NaN
98.936,169.718,-5.531,8.131,0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.382,293.153,NaN,NaN,NaN
99.218,168.157,-5.53,8.069,0.278,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.83,293.153,NaN,NaN,NaN
99.501,166.607,-5.451,7.527,-0.278,NaN,NaN,2589,0.287,0,63.5,-8.062,0,24.643,293.153,NaN,NaN,NaN
99.787,165.034,-5.531,7.571,0.042,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.571,293.153,NaN,NaN,NaN
100.069,163.475,-5.519,7.395,-0.035,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.274,293.153,NaN,NaN,NaN
100.352,161.914,-5.529,7.44,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.414,293.153,NaN,NaN,NaN
100.634,160.354,-5.526,7.353,-0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.339,293.153,NaN,NaN,NaN
100.916,158.794,-5.529,7.364,0.067,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.708,293.153,NaN,NaN,NaN
101.198,157.237,-5.51,7.568,-0.059,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.225,293.153,NaN,NaN,NaN
101.481,155.675,-5.526,7.514,-5.79e-5,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.372,293.153,NaN,NaN,NaN
101.981,152.912,-5.526,7.614,-0.001,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.36,293.153,NaN,NaN,NaN
102.264,151.353,-5.526,7.591,9.634e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.364,293.153,NaN,NaN,NaN
102.546,149.794,-5.526,7.578,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.411,293.153,NaN,NaN,NaN
102.828,148.236,-5.523,7.657,0.014,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.452,293.153,NaN,NaN,NaN
103.11,146.679,-5.519,7.782,0.028,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.558,293.153,NaN,NaN,NaN
103.392,145.122,-5.512,7.585,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.552,293.153,NaN,NaN,NaN
103.675,143.565,-5.508,7.374,-0.052,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.242,293.153,NaN,NaN,NaN
103.957,142.005,-5.523,7.451,-0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.355,293.153,NaN,NaN,NaN
104.239,140.448,-5.524,7.479,0.064,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.694,293.153,NaN,NaN,NaN
104.521,138.893,-5.505,7.684,1.314e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.524,293.153,NaN,NaN,NaN
104.804,137.336,-5.505,7.906,-7.093e-5,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.519,293.153,NaN,NaN,NaN
105.304,134.584,-5.505,7.522,0.044,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.742,293.153,NaN,NaN,NaN
105.587,133.029,-5.493,7.243,-0.08,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.207,293.153,NaN,NaN,NaN
105.87,131.47,-5.516,7.378,-0.019,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.314,293.153,NaN,NaN,NaN
106.152,129.914,-5.521,7.368,0.001,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.366,293.153,NaN,NaN,NaN
106.434,128.358,-5.521,7.381,0.046,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.595,293.153,NaN,NaN,NaN
106.715,126.805,-5.508,7.198,-0.042,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.253,293.153,NaN,NaN,NaN
106.998,125.248,-5.52,7.225,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.412,293.153,NaN,NaN,NaN
107.279,123.694,-5.517,7.301,0.069,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.742,293.153,NaN,NaN,NaN
107.561,122.142,-5.497,7.521,-0.068,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.207,293.153,NaN,NaN,NaN
107.844,120.585,-5.516,7.611,0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.426,293.153,NaN,NaN,NaN
108.126,119.031,-5.514,7.717,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.456,293.153,NaN,NaN,NaN
108.407,117.478,-5.511,7.855,-0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.346,293.153,NaN,NaN,NaN
108.689,115.924,-5.515,7.774,-0.005,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.354,293.153,NaN,NaN,NaN
108.971,114.37,-5.516,7.817,5.396e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.366,293.153,NaN,NaN,NaN
109.253,112.817,-5.516,7.785,0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.406,293.153,NaN,NaN,NaN
109.534,111.264,-5.514,7.703,0.082,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.808,293.153,NaN,NaN,NaN
109.816,109.715,-5.491,7.427,-0.061,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.273,293.153,NaN,NaN,NaN
110.098,108.16,-5.508,7.304,0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.449,293.153,NaN,NaN,NaN
110.38,106.608,-5.507,7.164,-0.023,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.313,293.153,NaN,NaN,NaN
110.662,105.055,-5.513,7.223,0.018,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.463,293.153,NaN,NaN,NaN
110.944,103.504,-5.508,7.103,-0.019,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.313,293.153,NaN,NaN,NaN
111.225,101.952,-5.514,7.094,0.037,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.552,293.153,NaN,NaN,NaN
111.507,100.402,-5.503,7.238,-0.034,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.277,293.153,NaN,NaN,NaN
111.788,98.85,-5.513,7.27,0.031,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.522,293.153,NaN,NaN,NaN
112.07,97.301,-5.504,7.408,-0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.425,293.153,NaN,NaN,NaN
112.351,95.75,-5.504,7.274,0.03,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.584,293.153,NaN,NaN,NaN
112.633,94.201,-5.496,7.463,-0.025,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.369,293.153,NaN,NaN,NaN
112.915,92.65,-5.503,7.328,0.059,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.737,293.153,NaN,NaN,NaN
113.197,91.102,-5.487,7.077,-0.065,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.241,293.153,NaN,NaN,NaN
113.479,89.55,-5.505,7.2,0.056,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.696,293.153,NaN,NaN,NaN
113.761,88.003,-5.489,7.411,-0.071,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.181,293.153,NaN,NaN,NaN
114.043,86.451,-5.509,7.404,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.369,293.153,NaN,NaN,NaN
114.324,84.902,-5.509,7.428,0.048,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.609,293.153,NaN,NaN,NaN
114.605,83.356,-5.495,7.603,-0.041,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.265,293.153,NaN,NaN,NaN
114.887,81.806,-5.507,7.556,-9.253e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.364,293.153,NaN,NaN,NaN
115.168,80.258,-5.507,7.521,0.029,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.513,293.153,NaN,NaN,NaN
115.449,78.711,-5.499,7.371,0.091,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.907,293.153,NaN,NaN,NaN
115.73,77.167,-5.473,7.069,-0.081,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.248,293.153,NaN,NaN,NaN
116.013,75.616,-5.496,6.939,-0.035,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.272,293.153,NaN,NaN,NaN
116.295,74.068,-5.506,6.943,0.027,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.5,293.153,NaN,NaN,NaN
116.576,72.522,-5.498,7.061,0.029,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.577,293.153,NaN,NaN,NaN
116.857,70.976,-5.49,7.24,-0.039,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.294,293.153,NaN,NaN,NaN
117.139,69.428,-5.501,7.157,-0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.357,293.153,NaN,NaN,NaN
117.42,67.882,-5.503,7.213,-0.003,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.356,293.153,NaN,NaN,NaN
117.701,66.336,-5.504,7.229,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.37,293.153,NaN,NaN,NaN
117.981,64.79,-5.503,7.203,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.43,293.153,NaN,NaN,NaN
118.262,63.245,-5.499,7.292,-0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.34,293.153,NaN,NaN,NaN
118.543,61.699,-5.502,7.325,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.372,293.153,NaN,NaN,NaN
118.824,60.155,-5.502,7.288,3.893e-5,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.363,293.153,NaN,NaN,NaN
119.324,57.404,-5.502,7.321,0.071,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.727,293.153,NaN,NaN,NaN
119.605,55.862,-5.482,7.528,-0.066,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.195,293.153,NaN,NaN,NaN
119.886,54.315,-5.5,7.575,0.043,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.584,293.153,NaN,NaN,NaN
120.167,52.773,-5.488,7.391,0.188,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.455,293.153,NaN,NaN,NaN
120.448,51.237,-5.435,6.954,-0.225,NaN,NaN,2589,0.287,0,63.5,-8.062,0,24.784,293.153,NaN,NaN,NaN
120.732,49.684,-5.499,6.973,0.094,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.847,293.153,NaN,NaN,NaN
121.013,48.145,-5.473,7.195,-0.043,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.373,293.153,NaN,NaN,NaN
121.295,46.6,-5.485,7.383,-0.045,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.25,293.153,NaN,NaN,NaN
121.576,45.056,-5.498,7.363,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.405,293.153,NaN,NaN,NaN
121.857,43.514,-5.495,7.287,-0.005,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.351,293.153,NaN,NaN,NaN
122.137,41.971,-5.497,7.26,2.562e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.363,293.153,NaN,NaN,NaN
122.418,40.429,-5.497,7.26,0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.437,293.153,NaN,NaN,NaN
122.698,38.888,-5.493,7.352,-0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.333,293.153,NaN,NaN,NaN
122.979,37.346,-5.496,7.372,0.003,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.372,293.153,NaN,NaN,NaN
123.259,35.805,-5.495,7.34,1.549e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.363,293.153,NaN,NaN,NaN
123.54,34.264,-5.495,7.33,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.416,293.153,NaN,NaN,NaN
123.82,32.723,-5.492,7.409,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.418,293.153,NaN,NaN,NaN
124.101,31.183,-5.49,7.306,-0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.346,293.153,NaN,NaN,NaN
124.381,29.642,-5.493,7.357,0.049,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.622,293.153,NaN,NaN,NaN
124.662,28.104,-5.479,7.537,-0.037,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.3,293.153,NaN,NaN,NaN
124.943,26.563,-5.49,7.641,0.022,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.505,293.153,NaN,NaN,NaN
125.223,25.024,-5.483,7.481,-0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.388,293.153,NaN,NaN,NaN
125.504,23.484,-5.486,7.362,-0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.361,293.153,NaN,NaN,NaN
