time,w_1,w_2,w_3,v_1,v_2,v_3,q_w,q_x,q_y,q_z
0.9250000000000005,0.0,0.0,0.6273060358773567,0.0,0.0,90.38674081680041,0.9943202620996212,0.0,0.0,0.10642939621242171
0.9500000000000005,0.0,0.0,0.6477082618554891,0.0,0.0,92.78821559260449,0.9934551730525799,0.0,0.0,0.11422267347190021
0.9750000000000005,0.0,0.0,0.6679020316785902,0.0,0.0,95.17697816366172,0.9924978568875021,0.0,0.0,0.122262030384398
1.0000000000000004,0.0,0.0,0.6878859618638348,0.0,0.0,97.55280378989704,0.9914425664684713,0.0,0.0,0.13054362257272772
1.0250000000000004,0.0,0.0,0.7076618176608623,0.0,0.0,100.02170262278227,0.9902834695341552,0.0,0.0,0.13906347459845722
1.0500000000000003,0.0,0.0,0.7275587186216608,0.0,0.0,102.43238504884984,0.9890146523425516,0.0,0.0,0.14781751402233023
1.0750000000000002,0.0,0.0,0.7473288635151837,0.0,0.0,104.8205288884046,0.9876294859343193,0.0,0.0,0.1568056074032818
1.1,0.0,0.0,0.7669218714851846,0.0,0.0,107.20100235524862,0.9861216426244301,0.0,0.0,0.16602441370983856
1.125,0.0,0.0,0.7863553141988309,0.0,0.0,109.63049794720585,0.9844848089565444,0.0,0.0,0.17546982912682185
1.15,0.0,0.0,0.8058309897667401,0.0,0.0,112.07175594312888,0.9827125658740665,0.0,0.0,0.18513782129324205
1.1749999999999998,0.0,0.0,0.8253532399688936,0.0,0.0,114.4732864982963,0.9807979373339495,0.0,0.0,0.1950266805374841
1.1999999999999997,0.0,0.0,0.844747938022217,0.0,0.0,116.83593827900685,0.9787337773389526,0.0,0.0,0.20513457313633338
